candidate_id,title,year,venue,category,type,problem,benchmark,metrics,limitation,relevance_to_candidate,relevance_score,url,authors,source_type,verified_status,verification_note
"C1","TRAIL: Trace Reasoning and Agentic Issue Localization","2025","arXiv","agent evaluation / trace diagnosis","benchmark","Agent traces are hard to debug because reasoning, planning, tool outputs, and execution errors interact across long trajectories.","TRAIL","issue localization accuracy; error taxonomy coverage","Only 148 annotated traces; early benchmark and may be costly to extend.","Trace-level causal failure localization","5","https://arxiv.org/pdf/2505.08638","PatronusAI / TRAIL authors","arXiv","verified","Search result exposes arXiv PDF and abstract with 148 traces and formal error taxonomy."
"C1","Why Do Multi-Agent LLM Systems Fail?","2025","arXiv","multi-agent failure taxonomy","taxonomy / evaluation","Multi-agent systems fail in ways not captured by end-to-end success metrics.","MAST","Cohen kappa; failure mode counts; judge agreement","Focuses on MAS traces; single-agent and production traces may need separate taxonomy.","Trace-level causal failure localization","4","https://arxiv.org/pdf/2503.13657v2","MAST authors","arXiv","verified","Search result exposes arXiv PDF and details 14 failure modes across 3 categories."
"C1","Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems","2025","ICML","multi-agent failure attribution","benchmark / method","Failure debugging needs identifying the responsible agent and decisive step.","Who&When","responsible-agent accuracy; failure-step accuracy","Best step attribution remains low; focused on multi-agent logs.","Trace-level causal failure localization","4","https://icml.cc/virtual/2025/poster/45823","Mingyin et al.","official project page","verified","ICML poster page states dataset of 127 systems and attribution accuracies."
"C1","SWE-bench: Can Language Models Resolve Real-World GitHub Issues?","2024","ICLR","software engineering agent","benchmark","Coding agents need to resolve real GitHub issues across large repositories.","SWE-bench","% resolved via tests","Evaluates final patch success more than fine-grained failure cause.","Trace-level causal failure localization","3","https://openreview.net/pdf?id=VTF8yNQM66","Jimenez et al.","OpenReview","verified","OpenReview PDF confirms 2294 problems and test-based evaluation."
"C1","GAIA: A Benchmark for General AI Assistants","2024","ICLR","general agent evaluation","benchmark","General assistants need robust multi-step reasoning, browsing, multimodality, and tool use.","GAIA","exact answer accuracy","Ground truth and task ambiguity can limit diagnostic precision.","Trace-level causal failure localization","3","https://arxiv.org/abs/2311.12983","Mialon et al.","arXiv","verified","arXiv page and ICLR proceedings confirm 466 questions and human-vs-GPT gap."
"C1","AgentBench: Evaluating LLMs as Agents","2024","ICLR","general agent evaluation","benchmark","LLMs need evaluation as autonomous agents across interactive environments.","AgentBench","composite task scores across 8 environments","Older benchmark; many tasks are environment-specific and not trace-diagnostic.","Trace-level causal failure localization","3","https://openreview.net/forum?id=zAdUB0aCTQ","Liu et al.","OpenReview","verified","OpenReview page confirms ICLR 2024 benchmark across 8 environments."
"C2","AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents","2024","NeurIPS","tool-use agent security","benchmark","Tool agents are vulnerable to indirect prompt injection through untrusted tool outputs.","AgentDojo","benign utility; utility under attack; targeted ASR","Focused on prompt injection; not all policy violations or memory attacks are covered.","Policy-consistent tool agents under adversarial evidence","5","https://proceedings.neurips.cc/paper_files/paper/2024/file/97091a5177d8dc64b1da8bf3e1f6fb54-Paper-Datasets_and_Benchmarks_Track.pdf","Debenedetti et al.","OpenReview","verified","NeurIPS PDF confirms dynamic stateful environment and formal utility checks."
"C2","Identifying the Risks of LM Agents with an LM-Emulated Sandbox","2024","ICLR","tool-use agent safety","benchmark / evaluator","Risky tool-use failures are expensive to find with real sandboxes.","ToolEmu","risk severity; failure validity; helpfulness","LLM-emulated tools may miss environment fidelity and adversarial simulator issues.","Policy-consistent tool agents under adversarial evidence","4","https://openreview.net/forum?id=FhmX2q2MP8","Ruan et al.","OpenReview","verified","OpenReview page confirms ICLR 2024 ToolEmu framework and 68.8% validated failures."
"C2","AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases","2024","NeurIPS","agent security / memory poisoning","attack","RAG-equipped agents can retrieve poisoned demonstrations from memory or knowledge bases.","AgentPoison experiments","attack success rate; benign performance drop","Attack-focused; defense and policy consistency remain open.","Policy-consistent tool agents under adversarial evidence","4","https://proceedings.nips.cc/paper_files/paper/2024/hash/eb113910e9c3f6242541c1652e30dfd6-Abstract-Conference.html","Chen et al.","OpenReview","verified","NeurIPS abstract and arXiv/OpenReview results confirm memory/RAG poisoning attack."
"C2","The Berkeley Function Calling Leaderboard (BFCL): From Tool Use to Agentic Evaluation of Large Language Models","2025","ICML","tool calling / function calling","benchmark","Function calling needs executable evaluation across serial, parallel, multi-turn, and stateful settings.","BFCL","AST match; executable function-call accuracy; abstention","Function-call correctness is narrower than full tool-user-policy consistency.","Policy-consistent tool agents under adversarial evidence","4","https://proceedings.mlr.press/v267/patil25a.html","Patil et al.","PMLR","verified","PMLR page confirms ICML 2025 BFCL paper and stateful multi-step evaluation."
