title,year,venue,category,type,problem,benchmark,metrics,limitation,relevance_to_state_contamination,relevance_score,url,authors,verified_status,verification_note,core_read
WebArena: A Realistic Web Environment for Building Autonomous Agents,2024,ICLR,Agent benchmark,Benchmark,现有 agent 多在简化环境测试，难以反映真实网页长链路任务,WebArena（812 任务，4 类网站 + 工具）,End-to-end task success rate（GPT-4 agent 14.41% vs 人类 78.24%）,只评最终成功/失败，不追踪中间状态污染与错误传播；轨迹级诊断弱,长链路 web 交互中错误会写入 scratchpad/对话历史并持续 conditioning 后续步骤,6,https://arxiv.org/abs/2307.13854,"Shuyan Zhou, Frank F. Xu, Hao Zhu, Xuhui Zhou, Robert Lo, Abishek Sridhar, Xianyi Cheng, Tianyue Ou, Yonatan Bisk, Daniel Fried, Uri Alon, Graham Neubig",verified,arXiv 2307.13854 + ICLR 2024 proceedings 可核对；812 任务数与 14.41% GPT-4 基线一致,no
GAIA: A Benchmark for General AI Assistants,2024,ICLR,Agent benchmark,Benchmark,通用 assistant 在多步推理、工具调用、网页检索上的能力缺乏统一评测,GAIA（466 题，3 难度级）,Quasi-exact match accuracy（人类 92% vs GPT-4+plugins 15%）,偏静态 QA 成功判定，不暴露 retry 后 context 污染或 memory 写回问题,多步 tool-use 轨迹会累积中间结论，为状态污染提供典型场景但 benchmark 本身不度量污染,5,https://arxiv.org/abs/2311.12983,"Grégoire Mialon, Clémentine Fourrier, Craig Swift, Thomas Wolf, Yann LeCun, Thomas Scialom",verified,arXiv 2311.12983 + ICLR 2024；466 题与官方 leaderboard 一致,no
SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,2024,ICLR,Agent benchmark,Benchmark,LLM 能否像工程师一样读代码库、改代码并通过测试缺乏真实 issue 基准,SWE-bench / SWE-bench Verified（500 人工校验实例）,pass@1 / resolve rate（Verified 上 SOTA agent >60%）,主要评 patch 是否通过测试；对失败轨迹中错误假设、脏 workspace 状态、retry 污染几乎无专门指标,长链路 coding agent 的 bash/edit 历史线性追加；CCRM 已在 Verified 上验证 retry 污染效应,6,https://arxiv.org/abs/2310.06770,"Carlos E. Jimenez, John Yang, Alexander Wettig, Shunyu Yao, Kexin Pei, Ofir Press, Karthik R. Narasimhan",verified,arXiv 2310.06770 + ICLR 2024 OpenReview；Verified 子集与 swebench.com 官方页面一致,yes
OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,2024,NeurIPS D&B Track,Agent benchmark,Benchmark,桌面级 open-ended 任务（多应用、文件、GUI）缺少可复现实验环境,OSWorld（369 任务，Ubuntu/Windows/macOS）,Task success rate（GPT-4V ~14% at launch）,评最终任务完成，不区分 GUI 状态漂移、错误操作残留与恢复能力,跨应用长链路操作会产生持久化系统状态，失败中间态可污染后续规划,6,https://arxiv.org/abs/2404.07972,"Tianbao Xie, Danyang Zhang, Jixuan Chen, Xiaochuan Li, Siheng Zhao, Ruisheng Cao, Toh Jing Hua, Zhoujun Cheng, Dongchan Shin, Fangyu Lei, Yitao Liu, Yiheng Xu, Shuyan Zhou, Silvio Savarese, Caiming Xiong, Victor Zhong, Tao Yu",verified,arXiv 2404.07972 + NeurIPS 2024 Datasets & Benchmarks Track OpenReview tN61DTr4Ed,no
SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,2024,NeurIPS,Tool-use / web agent / software agent,System,通用 LM 接口不适合 agent 在代码库中导航、编辑、测试,SWE-bench / HumanEvalFix,pass@1（SWE-bench 12.5%；HumanEvalFix 87.7%）,线性 message history 追加轨迹；无显式 rollback/checkpoint；错误 edit 会留在上下文,典型长链路 tool agent：每步 action 进入 trajectory，错误 patch 会持续 conditioning,7,https://arxiv.org/abs/2405.15793,"John Yang, Carlos E. Jimenez, Alexander Wettig, Kilian Lieret, Shunyu Yao, Karthik R. Narasimhan, Ofir Press",verified,arXiv 2405.15793 + NeurIPS 2024 proceedings + GitHub swe-agent/SWE-agent,no
τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,2024,arXiv (under review),Tool-use / web agent / software agent,Benchmark,现有 benchmark 不测 policy 遵循、人机多轮交互与状态一致性,τ-bench retail/airline（API + DB + policy + user simulator）,pass@1 / pass^k（GPT-4o <50%；pass^8 retail <25%）,关注 DB 终态正确性，不专门研究失败 retry 后对话/DB 中间态污染,Stateful tool agent：错误 API 调用改变 DB，retry 可能在不干净状态下继续,7,https://arxiv.org/abs/2406.12045,"Shunyu Yao, Noah Shinn, Pedram Razavi, Karthik Narasimhan",verified,arXiv 2406.12045 + Sierra 官方 PDF/blog + GitHub sierra-research/tau-bench；PDF 标注 Preprint under review,no
Devil's Advocate: Anticipatory Reflection for LLM Agents,2024,EMNLP Findings,Tool-use / web agent / software agent,Method,事后 reflection/backtracking 代价高，难以在长链路 web 任务中及时纠错,WebArena,Task success rate（23.5% vs prior zero-shot +3.5% absolute）,仍是单 trajectory 内反思，无显式 state isolation/rollback；未形式化 contamination,在 action 前做 anticipatory reflection，部分缓解错误写入 trajectory，但未解决 retry 污染,7,https://arxiv.org/abs/2405.16334,"Haoyu Wang, Tao Li, Zhiwei Deng, Dan Roth, Yang Li",verified,原表 ADVOCATE 为别名；正式标题为 Devil's Advocate；ACL Anthology 2024.findings-emnlp.53 可核对,no
OpenHands: An Open Platform for AI Software Developers as Generalist Agents,2025,ICLR,Tool-use / web agent / software agent,System,开源可复现 software agent 平台与 scaffold 缺失,SWE-bench / WebArena / GAIA 等,Resolve rate / task success（随模型与 scaffold 变化）,默认 append-only 轨迹与 sandbox 状态；恢复机制依赖人工重启 run,长链路 dev agent 的 shell/file 状态与 message history 双通道污染,6,https://arxiv.org/abs/2407.16741,"Xingyao Wang, Boxuan Li, Yufan Song, Frank F. Xu, Xiangru Tang, Mingchen Zhuge, Jiayi Pan, Yueqi Song, Bowen Li, Jaskirat Singh, Hoang H. Tran, Fuqiang Li, Ren Ma, Mingzhang Zheng, Bill Qian, Yanjun Shao, Niklas Muennighoff, Yizhe Zhang, Binyuan Hui, Junyang Lin, Robert Brennan, Hao Peng, Heng Ji, Graham Neubig",verified,arXiv 2407.16741（2024 预印本）+ ICLR 2025 poster OpenReview OJd3ayDDoF；原 OpenDevin 已更名,no
MemGPT: Towards LLMs as Operating Systems,2023,arXiv,Memory / long-horizon agent,System,有限 context 无法支撑 perpetual chat 与长文档分析,MSC multi-session chat / document QA / nested KV retrieval,LLM-judge accuracy / ROUGE-L,OS 式 paging 仍可能把错误 summary 写入 persistent memory；无 contamination 诊断,直接涉及 agent 状态在 working/recall/archival memory 间迁移，是状态污染机制基础,7,https://arxiv.org/abs/2310.08560,"Charles Packer, Sarah Wooders, Kevin Lin, Vivian Fang, Shishir G. Patil, Ion Stoica, Joseph E. Gonzalez",verified,arXiv 2310.08560 + 官方站点 research.memgpt.ai + GitHub,no
LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,2025,ICLR,Memory / long-horizon agent,Benchmark,chat assistant 长期记忆（更新、时序、跨 session）缺乏系统评测,LongMemEval（500 题，5 能力）,QA accuracy（商业 assistant 跨 session 记忆下降 ~30%）,偏 QA 记忆召回，不覆盖 tool-use trajectory 中的 executable state,知识 update 与错误记忆持久化是 state contamination 在 memory 通道的核心形态,7,https://arxiv.org/abs/2410.10813,"Di Wu, Hongwei Wang, Wenhao Yu, Yuwei Zhang, Kai-Wei Chang, Dong Yu",verified,arXiv 2410.10813 + ICLR 2025 poster 28290 + GitHub xiaowu0162/longmemeval,no
