title,year,venue,category,type,problem,benchmark,metrics,limitation,relevance_to_trace_causal_failure_localization,relevance_score,url,authors,source_type,verified_status,verification_note,core_read
"TRAIL: Trace Reasoning and Agentic Issue Localization","2025","arXiv","trace diagnosis","benchmark","Agent traces are hard to debug because reasoning, planning, and execution errors interact across long trajectories.","TRAIL","joint accuracy; error category localization","Directly covers step-level trace issue localization; major novelty threat.","Maximum threat: covers trace reasoning, OTel-style traces, formal taxonomy, 148 traces, 841 errors.","5","https://arxiv.org/html/2505.08638v3","TRAIL authors / PatronusAI","arXiv","verified","arXiv HTML and HuggingFace dataset pages confirm 148 traces, 841 errors, reasoning/planning/execution taxonomy.",yes
"AgentRx: Diagnosing AI Agent Failures from Execution Trajectories","2026","arXiv / Microsoft Research","agent failure diagnosis","method / benchmark","Failed agent trajectories require localizing the first unrecoverable critical failure step.","AgentRx Benchmark","critical step localization; root-cause attribution","Very direct threat: covers constraint-based diagnosis and repair-adjacent validation logs.","Maximum threat: pinpoints critical failure step using constraints and auditable validation logs across tau-bench, Flash, Magentic-One.","5","https://arxiv.org/abs/2602.02475v1","Barke et al.","arXiv","verified","arXiv abstract and Microsoft Research blog confirm 115 annotated failed trajectories and critical failure step localization.",yes
"Seeing the Whole Elephant: A Benchmark for Failure Attribution in LLM-based Multi-Agent Systems","2026","ACL","failure attribution","benchmark","Existing MAS attribution often lacks full execution observability needed for debugging.","TraceElephant","responsible component accuracy; decisive step accuracy","Very direct threat: full execution traces, reproducible environments, counterfactual probing support.","Maximum threat: covers failure attribution with full execution traces and reproducible environments.","5","https://aclanthology.org/2026.acl-long.912/","Chen et al.","ACL Anthology","verified","ACL page confirms 220 annotated failure traces, full execution observability, and up to 76.5% attribution improvement.",yes
"Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems","2025","ICML","multi-agent failure attribution","benchmark / method","MAS failures require identifying the responsible agent and decisive step.","Who&When","responsible-agent accuracy; decisive-step accuracy","Multi-agent focused; still directly covers step attribution.","Maximum threat: formalizes automated failure attribution for MAS and includes decisive error step labels.","5","https://proceedings.mlr.press/v267/zhang25cq.html","Zhang et al.","PMLR","verified","PMLR page confirms ICML 2025 paper, 127 systems, and step attribution results.",yes
"Why Do Multi-Agent LLM Systems Fail?","2025","arXiv","multi-agent failure taxonomy","taxonomy / evaluation","MAS failures need empirically grounded categories and scalable judging.","MAST","judge agreement; failure mode counts","Taxonomy focus rather than causal slice, but strong root-cause category threat.","Strong threat: 14 failure modes across specification, inter-agent misalignment, task verification.","4","https://arxiv.org/pdf/2503.13657v2","MAST authors","arXiv","verified","arXiv PDF search result confirms 14 failure modes and LLM-as-judge pipeline.",yes
"Where Agents Fail and How They Can Learn From Failures","2025","OpenReview / arXiv","agent debugging","taxonomy / benchmark / method","Agent failures cascade across memory, reflection, planning, action, and system modules.","AgentErrorBench","all-correct accuracy; step accuracy; task success lift","Directly overlaps with root-cause isolation and corrective feedback.","Strong threat: AgentErrorTaxonomy, AgentErrorBench, and AgentDebug recover from failures.","5","https://openreview.net/pdf?id=PFR4E8583W","AgentDebug authors","OpenReview","verified","OpenReview PDF confirms taxonomy, annotated failure trajectories, and AgentDebug framework.",yes
"AgentTelemetry: A Fault Detection Benchmark and Toolkit for LLM Agent Observability","2026","OpenReview","agent observability","benchmark / toolkit","Standard observability misses agent-specific planning, reasoning, delegation, and memory faults.","AgentTelemetry","fault detection rate; patch-rate lift","Observability focus; less about causal benchmark labels, but strong representation threat.","Strong representation threat: defines agent-specific span kinds and fault taxonomy.","4","https://openreview.net/attachment?id=owdmAYFk6k&name=pdf","AgentTelemetry authors","OpenReview","verified","OpenReview PDF confirms 9 span kinds, 14 fault types, and SWE-bench Lite case study.",yes
"VeriLA: A Human-Centered Evaluation Framework for Interpretable Verification of LLM Agent Failures","2025","CHI HEAL Workshop","human-centered failure verification","evaluation framework","Agent failures are opaque and expensive for humans to inspect.","VeriLA case study","verifier accuracy; human cognitive load","Workshop scope and verifier framing; relevant to repair guidance but not direct trace-causal benchmark.","Related threat: decomposes tasks and verifies agent outputs against human-defined criteria.","3","https://megagon.ai/publications/verila-eval-framework/","Sung et al.","official project page","verified","Megagon and author pages confirm arXiv-linked VeriLA framework and CHI HEAL Workshop 2025.",yes
"SWE-bench: Can Language Models Resolve Real-World GitHub Issues?","2024","ICLR","software engineering agent benchmark","benchmark","LLMs must resolve real GitHub issues with patches that pass tests.","SWE-bench","% resolved","Final success benchmark; not a trace diagnosis dataset by itself.","Trace source and application domain for software-agent failure localization.","3","https://openreview.net/pdf?id=VTF8yNQM66","Jimenez et al.","OpenReview","verified","OpenReview PDF confirms 2294 GitHub issue tasks and test-based evaluation.",no
"GAIA: A Benchmark for General AI Assistants","2024","ICLR","general assistant benchmark","benchmark","General assistants require reasoning, browsing, multimodality, and tool use.","GAIA","exact answer accuracy","Does not provide failure localization by default.","Trace source for information-retrieval and tool-use agent failures.","3","https://arxiv.org/abs/2311.12983","Mialon et al.","arXiv","verified","arXiv page confirms 466 questions and general assistant benchmark.",no
"AgentBench: Evaluating LLMs as Agents","2024","ICLR","general agent benchmark","benchmark","LLMs need evaluation as agents across diverse interactive environments.","AgentBench","task scores across 8 environments","Older benchmark; not trace-localization focused.","Trace source / background benchmark for agent failure categories.","3","https://openreview.net/forum?id=zAdUB0aCTQ","Liu et al.","OpenReview","verified","OpenReview confirms ICLR 2024 benchmark across 8 environments.",no
