title,year,venue,category,type,problem,benchmark,metrics,limitation,relevance_to_transaction_safe_agent_state,relevance_score,url,authors,source_type,verified_status,verification_note,core_read
ACRFence: Preventing Semantic Rollback Attacks in Agent Checkpoint-Restore,2026,arXiv,state management security,method,Checkpoint restore cannot undo external side effects in LLM agents,proof-of-concept rollback attacks,blocked replay and authority resurrection,Already directly names semantic rollback and replay-or-fork,Primary threat; must determine whether memory provenance and branch contamination remain uncovered,10,https://arxiv.org/abs/2603.20625,ACRFence authors,arXiv,verified,Official arXiv page found,yes
AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,2024,NeurIPS,agent security benchmark,benchmark,Tool agents face indirect prompt injection over untrusted data,AgentDojo,benign utility utility under attack attack success rate,Focused on prompt injection not rollback semantics,Tool-boundary security benchmark and baseline threat model,8,https://arxiv.org/abs/2406.13352,Edoardo Debenedetti; others,arXiv,verified,Official arXiv and NeurIPS paper found,yes
Agent Security Bench ASB: Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,2025,ICLR,agent security benchmark,benchmark,LLM agents have security vulnerabilities across prompts tools and memory,ASB,7 security and utility metrics,Security taxonomy broad and not recovery-focused,Memory poisoning and tool attack benchmark context,8,https://arxiv.org/abs/2410.02644,Hanrong Zhang; Jingyuan Huang; Kai Mei; others,arXiv,verified,Official arXiv and OpenReview found,yes
Identifying the Risks of LM Agents with an LM-Emulated Sandbox,2024,ICLR,tool safety evaluation,benchmark+emulator,Tool-use agents can cause unsafe external effects,ToolEmu,safety and helpfulness risk evaluation,LM-emulated sandbox may not capture transaction semantics,External-effect risk benchmark and possible MVP inspiration,8,https://openreview.net/forum?id=GEcwtMk1uA,ToolEmu authors,OpenReview,verified,Official ICLR OpenReview and project page found,yes
AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,2024,NeurIPS,memory poisoning,attack,Long-term memory and RAG stores can be poisoned to trigger malicious future actions,autonomous driving dialogue and healthcare agents,retrieval success and attack success rate,Attack-focused; does not address rollback or recovery semantics,Shows persistent memory contamination is a real agent state risk,9,https://arxiv.org/abs/2407.12784,Zhaorun Chen; Zhen Xiang; Chaowei Xiao; Dawn Song; Bo Li,arXiv,verified,Official arXiv and NeurIPS entry found,yes
From Untrusted Input to Trusted Memory: A Systematic Study of Memory Poisoning Attacks in LLM Agents,2026,arXiv,memory poisoning benchmark,benchmark,Prompt-injection defenses do not cover memory poisoning across write and retrieval phases,MPBench,memory write and retrieval phase attack metrics,Future arXiv work; author metadata not yet captured,Supports narrowing to memory provenance and recovery-state hygiene,8,https://arxiv.org/abs/2606.04329,MPBench authors,arXiv,uncertain,Official arXiv page found but authors need capture before core use,no
Memory Injection Attacks on LLM Agents via Query-Only Interaction,2025,arXiv,memory injection attack,attack,Attackers can poison agent memory through ordinary query interactions,MINJA tasks,attack success across agents,Author metadata not yet captured; exact memory assumptions need checking,Shows memory writes can be attacker-controlled without direct DB access,8,https://arxiv.org/abs/2503.03704,MINJA authors,arXiv,uncertain,Official arXiv page found but authors need capture before core use,no
MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-based Agents,2025,ACL Findings,memory benchmark,benchmark,Memory capability evaluation lacks multiple memory levels and interactive scenarios,MemBench,accuracy recall capacity temporal efficiency,Memory capability benchmark not security or rollback oriented,Provides memory evaluation dimensions for provenance hygiene,7,https://aclanthology.org/2025.findings-acl.989/,Haoran Tan; Zeyu Zhang; Chen Ma; Xu Chen; Quanyu Dai; Zhenhua Dong,ACL Anthology,verified,Official ACL Anthology entry found,yes
Evaluating Very Long-Term Conversational Memory of LLM Agents,2024,ACL,memory benchmark,benchmark,LLM agents struggle with very long-term multi-session memory,LoCoMo,QA event summarization dialogue generation,Conversational memory not tool-effect memory,Provides long-term memory and temporal consistency baseline,7,https://aclanthology.org/2024.acl-long.747/,Adyasha Maharana; Dong-Ho Lee; Sergey Tulyakov; Mohit Bansal; Francesco Barbieri; Yuwei Fang,ACL Anthology,verified,Official ACL Anthology entry found,yes
Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,2025,arXiv,memory architecture,system,Production agents need scalable extraction update and retrieval memory,LoCoMo and memory benchmarks,accuracy token cost latency,Architecture is not focused on malicious or rollback state,Relevant baseline for memory write update and provenance design,6,https://arxiv.org/abs/2504.19413,Prateek Chhikara; Dev Khant; Saket Aryan; Taranjeet Singh; Deshraj Yadav,arXiv,verified,Official arXiv page found,yes
LangGraph Persistence and Time Travel,2026,official documentation,agent checkpoint system,system documentation,Production agent frameworks support checkpoints stores replay and fork,LangGraph persistence,time travel replay fork semantics,Documentation not paper; still important system evidence,Shows practical checkpoint-store separation and replay/fork semantics,8,https://docs.langchain.com/oss/python/langgraph/persistence,LangChain team,official project page,verified,Official LangChain documentation found,no
OpenHands: An Open Platform for AI Software Developers as Generalist Agents,2024,arXiv,SWE agent platform,system,Generalist software agents need sandboxed execution and evaluation,OpenHands benchmark suite,task success across SWE-bench WebArena and others,Platform not a state semantics paper,Practical platform context for checkpoint and sandbox safety,7,https://arxiv.org/abs/2407.16741,Xingyao Wang; Boxuan Li; Yufan Song; others,arXiv,verified,Official arXiv page found,no
SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,2024,NeurIPS,SWE agent system,system,Software agents need interfaces designed for LM use,SWE-bench and HumanEvalFix,pass@1,Interface design not transaction safety,Shows agent-computer interface surface,7,https://openreview.net/forum?id=mXpq6ut8J3,John Yang; Carlos E. Jimenez; Alexander Wettig; others,OpenReview,verified,OpenReview paper found,no
AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,2023,COLM,multi-agent framework,system,Developers need programmable multi-agent conversation framework,AutoGen examples,task success and developer workflow metrics,Framework rather than research benchmark for state safety,Relevant production framework context for checkpoint and multi-agent state issues,5,https://arxiv.org/abs/2308.08155,Qingyun Wu; Gagan Bansal; Jieyu Zhang; others,arXiv,verified,Official arXiv page known,no
InjecAgent: Benchmarking Indirect Prompt Injection Attacks in Tool-Integrated LLM Agents,2024,arXiv,agent security benchmark,benchmark,Tool observations can inject malicious instructions into agents,InjecAgent,attack success and utility,May overlap with AgentDojo; verify details,Adjacent prompt injection benchmark for tool-integrated agents,6,https://arxiv.org/abs/2403.02691,InjecAgent authors,arXiv,uncertain,Title and arXiv ID need recheck before core use,no
MemoryBank: Enhancing Large Language Models with Long-Term Memory,2023,arXiv,memory architecture,method,LLM agents need long-term memory accumulation,conversation memory tasks,memory-informed response quality,Earlier memory method; not state-safety focused,Background baseline for persistent memory state,5,https://arxiv.org/abs/2305.10250,MemoryBank authors,arXiv,uncertain,Known arXiv work but authors not captured in this run,no
